0x5d ConvertRace
0x5f ConvertAllianceType
0x60 ConvertRacePref
0x61 ConvertIGameState
0x62 ConvertFGameState
0x63 ConvertPlayerState
0x64 ConvertPlayerScore
0x65 ConvertPlayerGameResult
0x66 ConvertUnitState
0x67 ConvertAIDifficulty
0x68 ConvertGameEvent
0x69 ConvertPlayerEvent
0x6a ConvertPlayerUnitEvent
0x6b ConvertWidgetEvent
0x6c ConvertDialogEvent
0x6d ConvertUnitEvent
0x6e ConvertLimitOp
0x6f ConvertUnitType
0x70 ConvertGameSpeed
0x71 ConvertPlacement
0x72 ConvertStartLocPrio
0x73 ConvertGameDifficulty
0x74 ConvertGameType
0x75 ConvertMapFlag
0x76 ConvertMapVisibility
0x77 ConvertMapSetting
0x78 ConvertMapDensity
0x79 ConvertMapControl
0x7a ConvertPlayerColor
0x7b ConvertPlayerSlotState
0x7c ConvertVolumeGroup
0x7d ConvertCameraField
0x7e ConvertBlendMode
0x7f ConvertRarityControl
0x80 ConvertTexMapFlags
0x81 ConvertFogState
0x82 ConvertEffectType
0x83 ConvertVersion
0x84 ConvertItemType
0x85 ConvertAttackType
0x86 ConvertDamageType
0x87 ConvertWeaponType
0x88 ConvertSoundType
0x89 ConvertPathingType
0x8a OrderId
0x8c OrderId2String
0x8e UnitId
0x90 UnitId2String
0x92 AbilityId
0x94 AbilityId2String
0x96 GetObjectName
0x242 Deg2Rad
0x244 Rad2Deg
0x246 Sin
0x247 Cos
0x248 Tan
0x249 Asin
0x24b Acos
0x24d Atan
0x24e Atan2
0x24f SquareRoot
0x250 Pow
0x252 I2R
0x253 R2I
0x255 I2S
0x256 R2S
0x257 R2SW
0x25a S2I
0x25c S2R
0x25d GetHandleId
0x25f SubString
0x263 StringLength
0x264 StringCase
0x266 StringHash
0x267 GetLocalizedString
0x268 GetLocalizedHotkey
0x269 SetMapName
0x26b SetMapDescription
0x26d SetTeams
0x26f SetPlayers
0x271 DefineStartLocation
0x273 DefineStartLocationLoc
0x275 SetStartLocPrioCount
0x277 SetStartLocPrio
0x27b GetStartLocPrioSlot
0x27c GetStartLocPrio
0x27d SetGameTypeSupported
0x280 SetMapFlag
0x282 SetGamePlacement
0x284 SetGameSpeed
0x286 SetGameDifficulty
0x288 SetResourceDensity
0x28a SetCreatureDensity
0x28b GetTeams
0x28c GetPlayers
0x28d IsGameTypeSupported
0x28e GetGameTypeSelected
0x28f IsMapFlagSet
0x290 GetGamePlacement
0x291 GetGameSpeed
0x292 GetGameDifficulty
0x293 GetResourceDensity
0x294 GetCreatureDensity
0x295 GetStartLocationX
0x297 GetStartLocationY
0x298 GetStartLocationLoc
0x299 SetPlayerTeam
0x29c SetPlayerStartLocation
0x29e ForcePlayerStartLocation
0x29f SetPlayerColor
0x2a1 SetPlayerAlliance
0x2a5 SetPlayerTaxRate
0x2a8 SetPlayerRacePreference
0x2aa SetPlayerRaceSelectable
0x2ab SetPlayerController
0x2ad SetPlayerName
0x2ae SetPlayerOnScoreScreen
0x2b0 GetPlayerTeam
0x2b1 GetPlayerStartLocation
0x2b2 GetPlayerColor
0x2b3 GetPlayerSelectable
0x2b4 GetPlayerController
0x2b5 GetPlayerSlotState
0x2b6 GetPlayerTaxRate
0x2b7 IsPlayerRacePrefSet
0x2b9 GetPlayerName
0x2ba CreateTimer
0x2bb DestroyTimer
0x2bd TimerStart
0x2c1 TimerGetElapsed
0x2c2 TimerGetRemaining
0x2c3 TimerGetTimeout
0x2c4 PauseTimer
0x2c5 ResumeTimer
0x2c6 GetExpiredTimer
0x2c7 CreateGroup
0x2c8 DestroyGroup
0x2ca GroupAddUnit
0x2cc GroupRemoveUnit
0x2cd GroupClear
0x2ce GroupEnumUnitsOfType
0x2d1 GroupEnumUnitsOfPlayer
0x2d2 GroupEnumUnitsOfTypeCounted
0x2d4 GroupEnumUnitsInRect
0x2d5 GroupEnumUnitsInRectCounted
0x2d6 GroupEnumUnitsInRange
0x2d8 GroupEnumUnitsInRangeOfLoc
0x2d9 GroupEnumUnitsInRangeCounted
0x2da GroupEnumUnitsInRangeOfLocCounted
0x2db GroupEnumUnitsSelected
0x2dc GroupImmediateOrder
0x2de GroupImmediateOrderById
0x2df GroupPointOrder
0x2e0 GroupPointOrderLoc
0x2e1 GroupPointOrderById
0x2e2 GroupPointOrderByIdLoc
0x2e3 GroupTargetOrder
0x2e5 GroupTargetOrderById
0x2e6 ForGroup
0x2e8 FirstOfGroup
0x2e9 CreateForce
0x2ea DestroyForce
0x2ec ForceAddPlayer
0x2ed ForceRemovePlayer
0x2ee ForceClear
0x2ef ForceEnumPlayers
0x2f0 ForceEnumPlayersCounted
0x2f1 ForceEnumAllies
0x2f2 ForceEnumEnemies
0x2f3 ForForce
0x2f4 Rect
0x2f9 RectFromLoc
0x2fc RemoveRect
0x2fe SetRect
0x2ff SetRectFromLoc
0x300 MoveRectTo
0x303 MoveRectToLoc
0x305 GetRectCenterX
0x306 GetRectCenterY
0x307 GetRectMinX
0x308 GetRectMinY
0x309 GetRectMaxX
0x30a GetRectMaxY
0x30b CreateRegion
0x30c RemoveRegion
0x30e RegionAddRect
0x30f RegionClearRect
0x310 RegionAddCell
0x311 RegionAddCellAtLoc
0x312 RegionClearCell
0x313 RegionClearCellAtLoc
0x314 Location
0x315 RemoveLocation
0x316 MoveLocation
0x319 GetLocationX
0x31a GetLocationY
0x31b GetLocationZ
0x31c IsUnitInRegion
0x31d IsPointInRegion
0x31e IsLocationInRegion
0x31f GetWorldBounds
0x320 CreateTrigger
0x321 DestroyTrigger
0x323 ResetTrigger
0x324 EnableTrigger
0x325 DisableTrigger
0x326 IsTriggerEnabled
0x327 TriggerWaitOnSleeps
0x328 IsTriggerWaitOnSleeps
0x329 GetFilterUnit
0x32a GetEnumUnit
0x32b GetFilterDestructable
0x32c GetEnumDestructable
0x32d GetFilterItem
0x32e GetEnumItem
0x32f GetFilterPlayer
0x330 GetEnumPlayer
0x331 GetTriggeringTrigger
0x332 GetTriggerEventId
0x333 GetTriggerEvalCount
0x334 GetTriggerExecCount
0x335 ExecuteFunc
0x337 And
0x33a Or
0x33b Not
0x33d Condition
0x33f DestroyCondition
0x341 Filter
0x342 DestroyFilter
0x344 DestroyBoolExpr
0x346 TriggerRegisterVariableEvent
0x34a TriggerRegisterTimerEvent
0x34b TriggerRegisterTimerExpireEvent
0x34d TriggerRegisterGameStateEvent
